product_id,name,article,description,pn,dn,category_id,brand_id,unit_id,url
11732,Тройник НПВХ коричневый Дн 160х110х45гр б/нап в/к KGEA Ostendorf 222320,127-8845,"{""Номенклатурный номер"": ""127-8845"", ""Бренд"": ""Ostendorf"", ""Инженерная система"": ""Водоотведение"", ""Назначение"": ""наружная канализация"", ""Материал"": ""НПВХ"", ""Цвет"": ""коричневый"", ""Масса нетто"": ""1.15 кг"", ""Страна происхождения"": ""Германия"", ""Штрих-код на одну ТМЦ"": ""4052836223203"", ""Температура рабочей среды"": ""до +60 oC"", ""Область применения"": ""Для наружной системы хозяйственно-бытовой канализации зданий"", ""Комплект поставки"": ""В комплекте с уплотнительными кольцами"", ""Диаметр, мм"": ""Дн 160"", ""Переход на диаметр, мм"": ""110"", ""Угол (в градусах)"": ""45 гр"", ""Исполнение"": ""в/к"", ""Давление"": ""безнапорное"", ""Артикул"": ""222320"", ""Рабочая среда"": ""сточные воды"", ""Длина раструба, мм"": ""L= 84 мм""}",,,1,50,1,https://www.santech.ru/catalog/278/280/i35864/
11733,Тройник НПВХ коричневый Дн 160х125х45гр б/нап в/к KGEA Ostendorf 222310,127-8846,"{""Номенклатурный номер"": ""127-8846"", ""Бренд"": ""Ostendorf"", ""Инженерная система"": ""Водоотведение"", ""Назначение"": ""наружная канализация"", ""Материал"": ""НПВХ"", ""Цвет"": ""коричневый"", ""Масса нетто"": ""1.28 кг"", ""Страна происхождения"": ""Германия"", ""Штрих-код на одну ТМЦ"": ""4052836223104"", ""Температура рабочей среды"": ""до +60 oC"", ""Область применения"": ""Для наружной системы хозяйственно-бытовой канализации зданий"", ""Комплект поставки"": ""В комплекте с уплотнительными кольцами"", ""Диаметр, мм"": ""Дн 160"", ""Переход на диаметр, мм"": ""125"", ""Угол (в градусах)"": ""45 гр"", ""Исполнение"": ""в/к"", ""Давление"": ""безнапорное"", ""Артикул"": ""222310"", ""Рабочая среда"": ""сточные воды"", ""Длина раструба, мм"": ""L= 84 мм""}",,,1,50,1,https://www.santech.ru/catalog/278/280/i35864/
11989,Ревизия НПВХ коричневая Дн 160 б/нап с круглой крышкой KGRE Ostendorf 222640,129-6560,"{""Номенклатурный номер"": ""129-6560"", ""Бренд"": ""Ostendorf"", ""Инженерная система"": ""Водоотведение"", ""Назначение"": ""наружная канализация"", ""Материал"": ""НПВХ"", ""Цвет"": ""коричневый"", ""Масса нетто"": ""1.254 кг"", ""Страна происхождения"": ""Германия"", ""Штрих-код на одну ТМЦ"": ""4052836053978"", ""Диаметр, мм"": ""Дн 160"", ""Исполнение"": ""с круглой крышкой"", ""Давление"": ""безнапорное"", ""Артикул"": ""222640""}",,,1,50,1,https://www.santech.ru/catalog/278/280/i812~1/
12036,"Картридж механический полипропиленовый шнур 10 мкм Big Blue 20"" Unicorn PP BB 2010",037-0450,"{""Номенклатурный номер"": ""037-0450"", ""Бренд"": ""Unicorn"", ""Инженерная система"": ""Водоснабжение"", ""Тип"": ""механический"", ""Рабочая среда"": ""для холодной воды"", ""Материал"": ""полипропиленовый шнур"", ""Серия"": ""РР ВВ"", ""Масса нетто"": ""0.718 кг"", ""Страна происхождения"": ""Россия"", ""Штрих-код на одну ТМЦ"": ""4610018814733"", ""Типоразмер корпуса"": ""Big Blue 20\"" (20BB)"", ""Наполнитель"": ""полипропиленовый шнур"", ""Артикул"": ""PP BB 2010"", ""Максимальная температура"": ""Тмакс=45oC"", ""Степень очистки"": ""10 мкм""}",,,6,128,1,https://www.santech.ru/catalog/353/1077/i668/
12277,"Узел нижнего подключения Ду 15 Ру10 1/2""x3/4"" под евроконус двухтр прямой с переходниками RAL1T104S9016 (белый муар) Premium КЗТО",022-7957,"{""Номенклатурный номер"": ""022-7957"", ""Бренд"": ""КЗТО"", ""Инженерная система"": ""Отопление"", ""Название"": ""Узел"", ""Тип подключения"": ""нижние подключение к отопительному прибору"", ""Конструкция"": ""прямой"", ""Давление условное"": ""10 бар"", ""Тип системы отопления"": ""двухтрубная"", ""Цвет"": ""RAL1T104S9016 (белый муар)"", ""Уплотнение узла нижнего подключения"": ""евроконус (коническое уплотнение)"", ""Исполнение"": ""с переходниками"", ""Масса нетто"": ""0.6 кг"", ""Страна происхождения"": ""Россия"", ""Подключение к отопительному прибору"": ""наружная резьба"", ""Подключение к трубопроводу"": ""наружная резьба"", ""Диаметр"": ""Ду 15"", ""Присоединительный размер"": ""1/2\""x3/4\"""", ""Размер резьбы подключения к отопительному прибору"": ""G1/2\"""", ""Размер резьбы подключения к трубопроводу"": ""G3/4\"""", ""Тип соединения с трубопроводом"": ""соединитель обжимной под евроконус (коническое уплотнение)""}",10 бар,"1/2""x3/4""",8,49,1,https://www.santech.ru/catalog/434/437/i1115/
12293,Грязевик вертикальный сталь Ду 65 Ру16 п/привар ГА.Р.П.065.16.2 LD,036-1574,"{""Номенклатурный номер"": ""036-1574"", ""Бренд"": ""LD"", ""Инженерная система"": ""Водоснабжение, Отопление, Тепловые пункты"", ""Давление"": ""Ру16"", ""Тип присоединения"": ""под приварку"", ""Тип"": ""вертикальный"", ""Материал"": ""сталь"", ""Назначение"": ""для механической очистки рабочей среды"", ""Присоединение воздухоотводчика"": ""1/2\"""", ""Присоединение сливного крана"": ""3/4\"""", ""Корпус"": ""сталь"", ""Масса нетто"": ""22.55 кг"", ""Страна происхождения"": ""Россия"", ""Штрих-код на одну ТМЦ"": ""4660054833083"", ""Диаметр"": ""Ду 65"", ""Cтроительная длина"": ""360"", ""Артикул"": ""ГА.Р.П.065.16.2""}",,,6,34,1,https://www.santech.ru/catalog/353/365/i52/
12317,Грязевик вертикальный сталь Ду 250 Ру16 фл КАЗ,036-1733,"{""Номенклатурный номер"": ""036-1733"", ""Бренд"": ""КАЗ"", ""Описание"": ""Внешний вид изделия и количество присоединительных отверстий зависит от Ду, PN и может отличаться от представленного на фото"", ""Инженерная система"": ""Водоснабжение, Отопление, Тепловые пункты"", ""Давление"": ""Ру16"", ""Тип присоединения"": ""фланцевое"", ""Тип"": ""вертикальный"", ""Материал"": ""сталь"", ""Назначение"": ""для механической очистки рабочей среды"", ""Присоединение воздухоотводчика"": ""1/2\"""", ""Присоединение сливного крана"": ""3/4\"""", ""Корпус"": ""сталь"", ""Масса нетто"": ""149 кг"", ""Страна происхождения"": ""Россия"", ""Диаметр"": ""Ду 250"", ""Cтроительная длина"": ""626""}",,,6,37,1,https://www.santech.ru/catalog/353/365/i32942/
12475,"Заглушка латунь никель Ду 15 (1/2"") ВР 9016 ГОСТ 32585-2013 Aquasfera 9016-01",027-8928,"{""Номенклатурный номер"": ""027-8928"", ""Бренд"": ""Aquasfera"", ""Инженерная система"": ""Водоснабжение, Отопление, Тепловые пункты, Пожаротушение"", ""Модель"": ""9016"", ""Условие производства"": ""ГОСТ 32585-2013"", ""Материал"": ""латунь"", ""Покрытие"": ""никель"", ""Масса нетто"": ""0.026 кг"", ""Страна происхождения"": ""Китай"", ""Штрих-код на одну ТМЦ"": ""4606034162897"", ""Температура рабочей среды"": ""до +150 oC"", ""Область применения"": ""Латунные резьбовые фитинги предназначены для создания разъемных соединений на трубопроводах холодного питьевого водоснабжения, горячего водоснабжения, хозяйственного водоснабжения, отопления, сжатого воздуха, технологических трубопроводах, транспортирующих жидкости и газы, неагрессивные к материалу корпуса и уплотнений изделия"", ""Артикул"": ""9016-01"", ""Диаметр условный, мм"": ""15"", ""Диаметр резьбы"": ""1/2\"""", ""Марка латуни"": ""CW617N (ЛС 59-2)"", ""Рабочее давление"": ""40"", ""Тип резьбы"": ""трубная цилиндрическая""}",40,15,9,30,1,https://www.santech.ru/catalog/259/276/i15329/
12485,"Соединитель латунь никель американка Ду 40 (1 1/2"") прямой ВР/ВР 9012 ГОСТ 32585-2013 Aquasfera 9012-05",027-8913,"{""Номенклатурный номер"": ""027-8913"", ""Бренд"": ""Aquasfera"", ""Инженерная система"": ""Водоснабжение, Отопление, Тепловые пункты, Пожаротушение"", ""Модель"": ""9012"", ""Условие производства"": ""ГОСТ 32585-2013"", ""Материал"": ""латунь"", ""Покрытие"": ""никель"", ""Тип"": ""американка"", ""Масса нетто"": ""0.478 кг"", ""Страна происхождения"": ""Китай"", ""Штрих-код на одну ТМЦ"": ""4606034162019"", ""Температура рабочей среды"": ""до +150 oC"", ""Область применения"": ""Латунные резьбовые фитинги предназначены для создания разъемных соединений на трубопроводах холодного питьевого водоснабжения, горячего водоснабжения, хозяйственного водоснабжения, отопления, сжатого воздуха, технологических трубопроводах, транспортирующих жидкости и газы, неагрессивные к материалу корпуса и уплотнений изделия"", ""Артикул"": ""9012-05"", ""Диаметр условный, мм"": ""40"", ""Диаметр резьбы"": ""1 1/2\"""", ""Марка латуни"": ""CW617N (ЛС 59-2)"", ""Рабочее давление"": ""16"", ""Тип резьбы"": ""трубная цилиндрическая""}",16,40,9,30,1,https://www.santech.ru/catalog/259/276/i15325/
12530,"Муфта латунь переходная Ду 20х15 (3/4""х1/2"") ВР/ВР LD LD.65.516.2015",129-5934,"{""Номенклатурный номер"": ""129-5934"", ""Бренд"": ""LD"", ""Инженерная система"": ""Тепловые пункты, Пожаротушение, Водоснабжение, Отопление"", ""Материал"": ""латунь"", ""Покрытие"": ""без покрытия"", ""Тип"": ""переходная"", ""Масса нетто"": ""0.056 кг"", ""Страна происхождения"": ""Россия"", ""Штрих-код на одну ТМЦ"": ""4670033066104"", ""Артикул"": ""LD.65.516.2015"", ""Диаметр условный, мм"": ""20"", ""Диаметр условный переходной, мм"": ""15"", ""Диаметр резьбы"": ""3/4\"""", ""Переход на резьбу 2"": ""1/2\"""", ""Тип резьбы"": ""трубная цилиндрическая""}",,20,9,34,1,https://www.santech.ru/catalog/259/276/i1380/
12622,"Переход латунь никель реборда Ду 20х15 (3/4""х1/2"") ВР/НР LD LD.67.509.20х15",129-8119,"{""Номенклатурный номер"": ""129-8119"", ""Бренд"": ""LD"", ""Инженерная система"": ""Водоснабжение, Отопление, Тепловые пункты, Пожаротушение"", ""Материал"": ""латунь"", ""Покрытие"": ""никель"", ""Тип"": ""реборда"", ""Масса нетто"": ""0.052 кг"", ""Страна происхождения"": ""Россия"", ""Штрих-код на одну ТМЦ"": ""4670033061116"", ""Артикул"": ""LD.67.509.20х15"", ""Диаметр условный, мм"": ""20"", ""Диаметр условный переходной, мм"": ""15"", ""Диаметр резьбы"": ""3/4\"""", ""Переход на резьбу 2"": ""1/2\"""", ""Тип резьбы"": ""трубная цилиндрическая""}",,20,9,34,1,https://www.santech.ru/catalog/259/276/i1439/
12636,"Заглушка латунь Ду 15 (1/2"") ВР LD LD.65.504.15",129-5928,"{""Номенклатурный номер"": ""129-5928"", ""Бренд"": ""LD"", ""Инженерная система"": ""Тепловые пункты, Пожаротушение, Водоснабжение, Отопление"", ""Материал"": ""латунь"", ""Покрытие"": ""без покрытия"", ""Масса нетто"": ""0.025 кг"", ""Страна происхождения"": ""Россия"", ""Штрих-код на одну ТМЦ"": ""4670033065985"", ""Артикул"": ""LD.65.504.15"", ""Диаметр условный, мм"": ""15"", ""Диаметр резьбы"": ""1/2\"""", ""Тип резьбы"": ""трубная цилиндрическая""}",,15,9,34,1,https://www.santech.ru/catalog/259/276/i1378/
12765,"Ниппель латунь никель Ду 15 (1/2"") НР VALFEX VF.582.N.012",128-4163,"{""Номенклатурный номер"": ""128-4163"", ""Бренд"": ""VALFEX"", ""Материал"": ""латунь"", ""Покрытие"": ""никель"", ""Масса нетто"": ""0.037 кг"", ""Страна происхождения"": ""Россия"", ""Штрих-код на одну ТМЦ"": ""4680086702065"", ""Артикул"": ""VF.582.N.012"", ""Диаметр условный, мм"": ""15"", ""Диаметр резьбы"": ""1/2\"""", ""Марка латуни"": ""ЛС 59-I"", ""Рабочее давление"": ""40"", ""Тип резьбы"": ""трубная цилиндрическая""}",40,15,9,55,1,https://www.santech.ru/catalog/259/276/i1189/
12830,"Заглушка латунь никель Ду 15 (1/2"") НР VALFEX VF.583.N.012",128-4191,"{""Номенклатурный номер"": ""128-4191"", ""Бренд"": ""VALFEX"", ""Инженерная система"": ""Водоснабжение, Тепловые пункты"", ""Материал"": ""латунь"", ""Покрытие"": ""никель"", ""Масса нетто"": ""0.026 кг"", ""Страна происхождения"": ""Россия"", ""Штрих-код на одну ТМЦ"": ""4680086703567"", ""Артикул"": ""VF.583.N.012"", ""Диаметр условный, мм"": ""15"", ""Диаметр резьбы"": ""1/2\"""", ""Марка латуни"": ""ЛС 59-I(с никелевым покрытием)"", ""Рабочее давление"": ""40""}",40,15,9,55,1,https://www.santech.ru/catalog/259/276/i1197/
12879,"Переход латунь Ду 20х10 (3/4""х3/8"") с герметичной прокладкой НР/ВР R593D Giacomini R593DY001",127-5179,"{""Номенклатурный номер"": ""127-5179"", ""Бренд"": ""Giacomini"", ""Инженерная система"": ""Водоснабжение, Отопление, Тепловые пункты, Пожаротушение"", ""Модель"": ""R593D"", ""Материал"": ""латунь"", ""Покрытие"": ""без покрытия"", ""Масса нетто"": ""0.036 кг"", ""Страна происхождения"": ""Италия"", ""Штрих-код на одну ТМЦ"": ""8009902053352"", ""Область применения"": ""Применяется в коллекторах для систем радиаторного отопления и водоснабжения, в качестве конечных, герметиизрующих элементов"", ""Артикул"": ""R593DY001"", ""Диаметр условный, мм"": ""20"", ""Диаметр условный переходной, мм"": ""10"", ""Диаметр резьбы"": ""3/4\"""", ""Переход на резьбу 2"": ""3/8\"""", ""Тип резьбы"": ""трубная цилиндрическая""}",,20,9,16,1,https://www.santech.ru/catalog/259/276/i29509/
12926,"Муфта латунь никель переходная Ду 50х25 (2""х1"") ВР/ВР FN122 SantechSystems",128-9004,"{""Номенклатурный номер"": ""128-9004"", ""Бренд"": ""SantechSystems"", ""Инженерная система"": ""Водоснабжение, Отопление"", ""Модель"": ""FN122"", ""Материал"": ""латунь"", ""Покрытие"": ""никель"", ""Тип"": ""переходная"", ""Масса нетто"": ""0.152 кг"", ""Страна происхождения"": ""Китай"", ""Штрих-код на одну ТМЦ"": ""4606034248263"", ""Гарантия"": ""1 год"", ""Срок службы"": ""1 год"", ""Диаметр условный, мм"": ""50"", ""Диаметр условный переходной, мм"": ""25"", ""Диаметр резьбы"": ""2\"""", ""Переход на резьбу 2"": ""1\""""}",,50,9,64,1,https://www.santech.ru/catalog/259/276/i1265/
13009,"Переход латунь никель Ду 25х15 (1/2""х1"") ВР/НР FN202 SantechSystems",129-1483,"{""Номенклатурный номер"": ""129-1483"", ""Бренд"": ""SantechSystems"", ""Инженерная система"": ""Водоснабжение, Отопление"", ""Модель"": ""FN202"", ""Материал"": ""латунь"", ""Покрытие"": ""никель"", ""Масса нетто"": ""0.06 кг"", ""Страна происхождения"": ""Китай"", ""Штрих-код на одну ТМЦ"": ""4606034249857"", ""Гарантия"": ""1 год"", ""Срок службы"": ""1 год"", ""Диаметр условный, мм"": ""25"", ""Диаметр условный переходной, мм"": ""15"", ""Диаметр резьбы"": ""1/2\"""", ""Переход на резьбу 2"": ""1\"""", ""Тип резьбы"": ""трубная цилиндрическая""}",,25,9,64,1,https://www.santech.ru/catalog/259/276/i1282/
13124,"Тройник латунь никель Ду 15 (1/2"") НР/ВР/НР SantechSystems .",130-0473,"{""Номенклатурный номер"": ""130-0473"", ""Бренд"": ""SantechSystems"", ""Инженерная система"": ""Водоснабжение, Отопление"", ""Материал"": ""латунь"", ""Покрытие"": ""никель"", ""Масса нетто"": ""0.056 кг"", ""Страна происхождения"": ""Китай"", ""Штрих-код на одну ТМЦ"": ""4606034366240"", ""Диаметр условный, мм"": ""15"", ""Диаметр резьбы"": ""1/2\""""}",,15,9,64,1,https://www.santech.ru/catalog/259/276/i1488/
13144,"Футорка латунь никель Ду 20х15 (3/4""х1/2"") НР/ВР SantechSystems .",130-0456,"{""Номенклатурный номер"": ""130-0456"", ""Бренд"": ""SantechSystems"", ""Инженерная система"": ""Водоснабжение, Отопление"", ""Материал"": ""латунь"", ""Покрытие"": ""никель"", ""Масса нетто"": ""0.026 кг"", ""Страна происхождения"": ""Китай"", ""Штрих-код на одну ТМЦ"": ""4606034366066"", ""Диаметр условный, мм"": ""20"", ""Диаметр условный переходной, мм"": ""15"", ""Диаметр резьбы"": ""3/4\"""", ""Переход на резьбу 2"": ""1/2\""""}",,20,9,64,1,https://www.santech.ru/catalog/259/276/i1481/
